City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Albany,US,2020-12-31 18:40:31,42.6,-73.97,39.0,58,100,10.76
70,Oyonnax,FR,2020-12-31 18:47:03,46.26,5.66,41.0,93,75,2.24
71,Grindavik,IS,2020-12-31 18:41:17,63.84,-22.43,33.8,80,75,9.17
72,Bereda,ES,2020-12-31 18:47:03,43.27,-7.54,42.01,100,100,5.01
73,Waingapu,ID,2020-12-31 18:41:50,-9.66,120.26,78.58,76,100,5.5
74,Gwadar,PK,2020-12-31 18:47:04,25.12,62.33,64.71,28,0,17.34
75,Vaasa,FI,2020-12-31 18:47:04,63.1,21.62,33.8,98,90,3.36
76,Esperance,AU,2020-12-31 18:40:44,-33.87,121.9,62.6,82,90,9.17
77,Torbay,CA,2020-12-31 18:40:48,47.67,-52.73,33.01,91,90,9.17
78,Souillac,MU,2020-12-31 18:47:05,-20.52,57.52,78.8,78,40,14.99
79,Ponta Delgada,PT,2020-12-31 18:47:05,37.73,-25.67,59.0,72,40,12.75
80,Arraial Do Cabo,BR,2020-12-31 18:40:43,-22.97,-42.03,91.4,58,20,17.22
81,Saint-Joseph,RE,2020-12-31 18:41:24,-21.37,55.62,78.8,69,20,8.05
82,Vardo,NO,2020-12-31 18:41:36,70.37,31.11,30.34,94,0,9.84
83,Dingle,PH,2020-12-31 18:41:28,11.0,122.67,75.2,91,72,8.61
84,Bluff,NZ,2020-12-31 18:42:12,-46.6,168.33,54.0,97,100,1.99
85,Tazovskiy,RU,2020-12-31 18:47:06,67.47,78.7,-18.94,81,54,6.49
86,Lasa,IT,2020-12-31 18:47:06,46.62,10.7,26.01,67,5,3.02
87,Kaitangata,NZ,2020-12-31 18:40:28,-46.28,169.85,57.99,87,100,8.99
88,Batouri,CM,2020-12-31 18:47:07,4.43,14.37,76.62,31,90,2.71
89,Mahebourg,MU,2020-12-31 18:40:43,-20.41,57.7,78.8,78,40,14.99
90,Bengkulu,ID,2020-12-31 18:41:06,-3.8,102.27,78.26,81,100,3.53
91,Banda Aceh,ID,2020-12-31 18:47:07,5.56,95.32,78.24,81,100,9.78
92,Sierre,CH,2020-12-31 18:47:08,46.29,7.54,35.6,59,75,1.12
93,Severo-Kurilsk,RU,2020-12-31 18:40:38,50.68,156.12,25.21,92,100,14.12
94,Kurilsk,RU,2020-12-31 18:47:08,45.23,147.88,21.87,90,100,12.21
95,Carnarvon,AU,2020-12-31 18:40:23,-24.87,113.63,75.2,94,0,13.87
96,Broome,US,2020-12-31 18:47:08,42.25,-75.83,34.0,74,90,12.75
97,Inhambane,MZ,2020-12-31 18:40:49,-23.86,35.38,84.2,79,40,9.17
98,Roald,NO,2020-12-31 18:42:23,62.58,6.13,37.4,71,96,9.17
99,East London,ZA,2020-12-31 18:41:37,-33.02,27.91,66.2,100,90,11.41
100,Rio Grande City,US,2020-12-31 18:47:12,26.38,-98.82,51.01,74,0,5.99
101,Moose Factory,CA,2020-12-31 18:40:54,51.26,-80.61,10.4,71,90,8.05
102,Faanui,PF,2020-12-31 18:40:23,-16.48,-151.75,80.37,79,100,22.44
103,Kiunga,PG,2020-12-31 18:47:13,-6.12,141.29,73.83,98,100,2.26
104,Longyearbyen,SJ,2020-12-31 18:36:37,78.22,15.64,28.4,100,75,9.17
105,Fortuna,US,2020-12-31 18:47:13,40.6,-124.16,53.01,100,90,0.31
106,Mazatlan,MX,2020-12-31 18:47:13,23.22,-106.42,69.01,55,5,3.36
107,Lewiston,US,2020-12-31 18:47:14,44.1,-70.21,42.01,52,90,11.41
108,Aklavik,CA,2020-12-31 18:42:26,68.22,-135.01,-5.8,76,90,3.36
109,Fayaoue,NC,2020-12-31 18:40:22,-20.65,166.53,80.11,82,100,11.52
110,Chateau-Gontier,FR,2020-12-31 18:47:14,47.83,-0.7,41.0,93,0,3.36
111,Arman,RU,2020-12-31 18:47:14,59.7,150.17,-6.25,78,100,21.9
112,Prince Albert,CA,2020-12-31 18:47:15,53.2,-105.77,-0.4,84,75,4.7
113,Coquimbo,CL,2020-12-31 18:39:22,-29.95,-71.34,68.0,68,20,11.41
114,Dodge City,US,2020-12-31 18:44:04,37.75,-100.02,41.0,59,1,10.29
115,Brighton,GB,2020-12-31 18:44:15,50.83,-0.14,34.0,86,75,5.82
116,Forbes,AU,2020-12-31 18:47:15,-33.38,148.02,70.0,73,100,5.01
117,Puerto Baquerizo Moreno,EC,2020-12-31 18:47:16,-0.9,-89.6,78.8,78,20,18.34
118,Rundu,NA,2020-12-31 18:45:10,-17.93,19.77,73.29,67,100,8.14
119,Shingu,JP,2020-12-31 18:47:16,33.73,135.98,33.37,90,7,7.49
120,Nemuro,JP,2020-12-31 18:41:35,43.32,145.57,20.16,85,7,20.92
121,Dezful,IR,2020-12-31 18:47:16,32.38,48.41,59.0,58,0,1.39
122,Karratha,AU,2020-12-31 18:40:28,-20.74,116.85,84.92,73,0,8.1
123,Lompoc,US,2020-12-31 18:40:41,34.64,-120.46,54.0,71,20,9.17
124,Nanortalik,GL,2020-12-31 18:47:17,60.14,-45.24,33.01,94,100,7.23
125,Georgetown,MY,2020-12-31 18:40:04,5.41,100.34,77.0,78,20,7.4
126,Puerto Colombia,CO,2020-12-31 18:47:18,10.99,-74.95,86.0,62,20,13.87
127,Acapulco,MX,2020-12-31 18:47:18,16.86,-99.89,82.4,61,5,5.82
128,Vuktyl,RU,2020-12-31 18:47:18,63.86,57.31,-15.18,85,3,4.12
129,Tiarei,PF,2020-12-31 18:47:19,-17.53,-149.33,86.0,54,75,14.99
130,Yaan,NG,2020-12-31 18:47:19,7.38,8.57,84.47,20,77,1.72
131,Morgan City,US,2020-12-31 18:47:19,29.7,-91.21,73.4,83,90,11.41
132,Sao Filipe,CV,2020-12-31 18:40:31,14.9,-24.5,76.48,73,0,6.96
133,Ust-Kut,RU,2020-12-31 18:47:20,56.79,105.77,-28.39,81,73,0.6
134,Norman Wells,CA,2020-12-31 18:47:20,65.28,-126.83,-5.8,83,90,6.93
135,Howard Springs,AU,2020-12-31 18:47:20,-12.5,131.05,82.4,88,98,5.82
136,Kavieng,PG,2020-12-31 18:40:41,-2.57,150.8,82.27,73,100,8.05
137,Puerto Gaitan,CO,2020-12-31 18:47:20,4.31,-72.08,91.83,44,100,14.94
138,Dyersburg,US,2020-12-31 18:47:21,36.03,-89.39,37.0,93,90,13.87
139,Port Alfred,ZA,2020-12-31 18:40:26,-33.59,26.89,70.0,80,80,1.99
140,Puerto Del Rosario,ES,2020-12-31 18:47:21,28.5,-13.86,64.4,59,75,14.99
141,Ponnani,IN,2020-12-31 18:47:21,10.77,75.93,73.4,94,75,12.86
142,Kambove,CD,2020-12-31 18:47:22,-10.88,26.6,62.91,98,100,2.68
143,Vanavara,RU,2020-12-31 18:47:22,60.34,102.28,-27.51,85,51,2.15
144,Rawson,AR,2020-12-31 18:40:46,-43.3,-65.1,70.56,38,4,15.79
