City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
369,Porto Novo,BJ,84.2,scattered clouds,6.5,2.6,
375,Catuday,PH,76.84,clear sky,16.29,119.81,
380,Minna,NG,75.85,scattered clouds,9.61,6.56,
382,Samarai,PG,86.4,overcast clouds,-10.62,150.67,
384,Moree,AU,82.4,scattered clouds,-29.47,149.85,
391,Honiara,SB,87.8,scattered clouds,-9.43,159.95,
395,Pringsewu,ID,78.69,broken clouds,-5.36,104.97,
396,Altamira,BR,75.42,clear sky,-3.2,-52.21,
397,Buala,SB,86.81,overcast clouds,-8.14,159.59,
406,Nicoya,CR,80.6,scattered clouds,10.15,-85.45,
408,Garissa,KE,76.48,few clouds,-0.45,39.64,
415,Neiafu,TO,82.4,light rain,-18.65,-173.98,
416,Okrika,NG,78.93,overcast clouds,4.74,7.08,
421,Otane,NZ,80.4,light rain,-39.88,176.63,
432,Manuk Mangkaw,PH,81.66,overcast clouds,4.8,119.85,
437,Jaciara,BR,76.66,clear sky,-15.97,-54.97,
438,Gambela,ET,78.13,overcast clouds,8.25,34.58,
442,Jizan,SA,75.2,overcast clouds,17.33,42.67,
443,Acapulco,MX,80.6,clear sky,16.86,-99.89,
445,Taguatinga,BR,79.11,scattered clouds,-12.39,-46.57,
448,Innisfail,AU,82.08,overcast clouds,-17.53,146.03,
450,Labuan,MY,78.8,few clouds,5.28,115.24,
451,Bubaque,GW,80.08,clear sky,11.28,-15.83,
465,Morant Bay,JM,80.6,few clouds,17.88,-76.41,
466,Bodden Town,KY,79.0,clear sky,19.28,-81.25,
469,Popondetta,PG,88.65,moderate rain,-8.75,148.25,
472,Mareeba,AU,90.0,moderate rain,-17.0,145.43,
473,Camacari,BR,82.4,few clouds,-12.7,-38.32,
484,Neuquen,AR,87.8,few clouds,-38.95,-68.06,
487,Tarakan,ID,78.8,scattered clouds,3.3,117.63,
489,Isla Mujeres,MX,80.01,light rain,21.23,-86.73,
492,Benjamin Constant,BR,80.6,moderate rain,-4.38,-70.03,
497,Sinnamary,GF,78.44,overcast clouds,5.38,-52.95,
499,Xique-Xique,BR,79.97,clear sky,-10.82,-42.73,
503,Pemangkat,ID,78.67,overcast clouds,1.17,108.97,
506,Saint-Joseph,RE,77.0,clear sky,-21.37,55.62,
509,Tanabi,BR,77.0,thunderstorm,-20.63,-49.65,
513,Monrovia,LR,77.0,few clouds,6.3,-10.8,
516,Gizo,SB,85.46,overcast clouds,-8.1,156.84,
517,Cayenne,GF,75.2,few clouds,4.93,-52.33,
521,Kieta,PG,85.82,scattered clouds,-6.22,155.63,
522,Belmonte,BR,77.0,scattered clouds,-15.86,-38.88,
523,Bowen,AU,82.4,overcast clouds,-20.02,148.23,
527,Santa Cruz,BO,77.0,broken clouds,-17.8,-63.17,
534,Arawa,PG,87.89,scattered clouds,-6.21,155.54,
538,Poum,NC,81.27,overcast clouds,-20.23,164.02,
541,Novo Aripuana,BR,77.04,clear sky,-5.12,-60.38,
543,Kihei,US,82.4,few clouds,20.79,-156.47,
544,Jacareacanga,BR,75.87,overcast clouds,-6.22,-57.75,
550,Inverell,AU,82.99,overcast clouds,-29.78,151.12,
566,Port Blair,IN,78.8,mist,11.67,92.75,
569,Mandera,KE,76.8,overcast clouds,3.94,41.87,
