Weather_Database,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
271,Ahipara,-35.17,173.17,70.25,74,100,7.49,NZ,2021-01-02 01:16:43,overcast clouds
272,Colina,-20.71,-48.54,70.57,87,10,3.42,BR,2021-01-02 01:22:44,light rain
273,Mongu,-15.25,23.13,67.3,92,100,4.54,ZM,2021-01-02 01:22:44,overcast clouds
274,Grafton,42.21,-71.69,33.01,95,90,4.7,US,2021-01-02 01:22:44,light snow
275,Turukhansk,65.82,87.98,-28.1,86,97,2.53,RU,2021-01-02 01:17:32,overcast clouds
276,Ati,13.22,18.34,75.43,19,25,8.93,TD,2021-01-02 01:22:45,scattered clouds
277,Vigrestad,58.57,5.7,32.0,83,20,9.17,NO,2021-01-02 01:22:45,few clouds
278,Guerrero Negro,27.98,-114.06,60.17,50,0,8.86,MX,2021-01-02 01:16:29,clear sky
279,Anchorage,61.22,-149.9,14.0,92,1,3.36,US,2021-01-02 01:20:20,clear sky
280,Severo-Kurilsk,50.68,156.12,28.8,95,100,18.3,RU,2021-01-02 01:14:55,overcast clouds
281,Coquimbo,-29.95,-71.34,60.8,82,15,10.29,CL,2021-01-02 01:17:14,few clouds
282,Akyab,20.15,92.9,64.87,80,1,5.26,MM,2021-01-02 01:22:46,clear sky
283,Garcia,25.82,-100.58,50.0,61,40,7.78,MX,2021-01-02 01:22:47,scattered clouds
284,Lanxi,29.22,119.48,37.0,70,0,1.72,CN,2021-01-02 01:22:47,clear sky
285,Tecoanapa,16.52,-98.75,75.13,67,0,6.46,MX,2021-01-02 01:22:47,clear sky
286,Faanui,-16.48,-151.75,81.05,75,29,19.71,PF,2021-01-02 01:15:49,scattered clouds
287,Hernani,43.27,-1.98,39.2,86,75,11.41,ES,2021-01-02 01:22:48,light rain
288,Makueni,-1.8,37.62,60.89,95,100,2.84,KE,2021-01-02 01:22:48,overcast clouds
289,Nioro,13.35,-15.75,78.12,25,0,9.53,GM,2021-01-02 01:22:48,clear sky
290,Port Augusta,-32.5,137.77,86.0,68,40,21.92,AU,2021-01-02 01:17:53,scattered clouds
291,Gusinoye Ozero,51.11,106.26,-12.23,83,55,5.5,RU,2021-01-02 01:22:49,broken clouds
292,Bagdarin,54.43,113.6,-17.86,81,87,3.42,RU,2021-01-02 01:22:49,overcast clouds
293,Portland,45.52,-122.68,48.99,89,100,4.0,US,2021-01-02 01:15:34,moderate rain
294,Walvis Bay,-22.96,14.51,63.0,82,100,11.41,NA,2021-01-02 01:16:18,overcast clouds
295,Nisia Floresta,-6.09,-35.21,78.8,78,20,10.29,BR,2021-01-02 01:22:50,few clouds
296,Luzilandia,-3.46,-42.37,75.99,89,100,2.55,BR,2021-01-02 01:20:03,light rain
297,Makakilo City,21.35,-158.09,84.2,51,40,12.75,US,2021-01-02 01:22:51,scattered clouds
298,Pushkinskiye Gory,57.02,28.91,34.11,100,100,3.49,RU,2021-01-02 01:22:51,snow
299,Norman Wells,65.28,-126.83,-14.8,75,20,8.05,CA,2021-01-02 01:15:01,few clouds
300,The Valley,18.22,-63.06,78.8,57,40,13.87,AI,2021-01-02 01:22:52,scattered clouds
301,Tela,15.78,-87.45,80.6,88,0,2.24,HN,2021-01-02 01:19:29,clear sky
302,Melo,-32.37,-54.18,64.67,67,100,9.98,UY,2021-01-02 01:22:52,overcast clouds
303,Nalvo,16.81,120.51,77.99,62,2,2.06,PH,2021-01-02 01:22:53,clear sky
304,Port-Gentil,-0.72,8.78,81.18,79,100,9.55,GA,2021-01-02 01:22:53,overcast clouds
305,Najran,17.49,44.13,59.0,51,0,4.07,SA,2021-01-02 01:19:02,clear sky
306,Jurm,36.86,70.83,24.35,50,0,6.35,AF,2021-01-02 01:22:53,clear sky
307,Znamenskoye,57.13,73.83,-25.76,85,43,3.02,RU,2021-01-02 01:22:54,scattered clouds
308,Ancud,-41.87,-73.82,59.0,62,90,4.7,CL,2021-01-02 01:17:28,overcast clouds
309,Mackay,-21.15,149.2,78.8,94,75,9.17,AU,2021-01-02 01:22:54,broken clouds
310,Inhambane,-23.86,35.38,71.6,100,75,10.29,MZ,2021-01-02 01:22:55,light rain
311,Mazagao,-0.12,-51.29,84.2,79,75,5.82,BR,2021-01-02 01:18:16,broken clouds
312,Angoche,-16.23,39.91,77.41,82,14,5.19,MZ,2021-01-02 01:22:55,few clouds
313,Clyde River,70.47,-68.59,-16.6,68,1,3.36,CA,2021-01-02 01:15:53,clear sky
314,Belaya Gora,68.53,146.42,-30.26,85,0,4.07,RU,2021-01-02 01:22:56,clear sky
315,Kamenka,51.32,42.77,27.0,96,100,11.79,RU,2021-01-02 01:16:58,overcast clouds
316,Kargasok,59.06,80.86,-30.71,85,0,2.8,RU,2021-01-02 01:22:56,clear sky
317,Port-De-Bouc,43.4,4.98,42.8,80,75,16.11,FR,2021-01-02 01:22:57,broken clouds
318,Touros,-5.2,-35.46,77.0,83,20,6.93,BR,2021-01-02 01:15:06,few clouds
319,Takoradi,4.88,-1.76,79.25,86,98,9.48,GH,2021-01-02 01:22:57,overcast clouds
320,Grand-Lahou,5.14,-5.02,78.84,88,0,9.91,CI,2021-01-02 01:22:57,clear sky
321,Svetlogorsk,52.63,29.73,36.03,89,100,13.82,BY,2021-01-02 01:22:58,overcast clouds
322,Bima,-8.47,118.72,84.24,69,71,2.46,ID,2021-01-02 01:22:58,broken clouds
323,Nagaur,27.2,73.73,55.44,56,95,10.09,IN,2021-01-02 01:22:59,overcast clouds
324,Tuatapere,-46.13,167.68,57.99,87,100,13.0,NZ,2021-01-02 01:15:26,light rain
325,Faya,18.39,42.45,53.6,81,0,2.59,SA,2021-01-02 01:15:47,clear sky
326,Muroto,33.28,134.15,37.4,69,75,5.82,JP,2021-01-02 01:22:59,broken clouds
327,Hirara,24.8,125.28,62.6,67,75,13.87,JP,2021-01-02 01:17:10,broken clouds
328,San Isidro,-12.12,-77.05,70.0,83,75,14.99,PE,2021-01-02 01:23:00,broken clouds
329,Launceston,-41.45,147.17,69.01,52,75,5.82,AU,2021-01-02 01:23:01,broken clouds
330,Bethel,41.37,-73.41,33.8,74,90,3.36,US,2021-01-02 01:12:26,snow
331,Freetown,8.48,-13.23,78.46,84,5,7.2,SL,2021-01-02 01:23:01,clear sky
332,Coihaique,-45.58,-72.07,62.6,42,20,9.17,CL,2021-01-02 01:15:17,few clouds
333,Dong Hoi,17.48,106.6,59.76,73,98,10.2,VN,2021-01-02 01:23:04,overcast clouds
334,Montepuez,-13.13,39.0,67.19,98,99,1.03,MZ,2021-01-02 01:23:04,moderate rain
335,Xining,36.62,101.77,10.76,70,49,2.17,CN,2021-01-02 01:16:43,scattered clouds
336,Chino Valley,34.76,-112.45,41.0,35,1,1.43,US,2021-01-02 01:23:05,clear sky
337,Hami,42.8,93.45,15.42,78,100,1.25,CN,2021-01-02 01:23:06,overcast clouds
338,Yaan,7.38,8.57,79.86,33,100,4.97,NG,2021-01-02 01:23:06,overcast clouds
339,Durango,24.83,-104.83,42.49,54,0,6.4,MX,2021-01-02 01:22:35,clear sky
340,Mathbaria,22.29,89.96,58.32,67,42,3.98,BD,2021-01-02 01:23:07,scattered clouds
341,Capreol,46.71,-80.92,27.0,79,90,6.93,CA,2021-01-02 01:23:08,overcast clouds
342,Campbellsville,37.34,-85.34,60.8,63,1,9.17,US,2021-01-02 01:23:08,clear sky
343,Tarrafal,15.28,-23.77,71.6,88,0,11.41,CV,2021-01-02 01:23:08,clear sky
344,Sakakah,29.97,40.21,48.2,76,0,5.82,SA,2021-01-02 01:23:09,clear sky
345,Buraydah,26.33,43.98,57.2,93,20,9.17,SA,2021-01-02 01:18:29,few clouds
346,Te Anau,-45.42,167.72,54.14,92,100,2.95,NZ,2021-01-02 01:16:04,light rain
347,Dhidhdhoo,6.88,73.1,81.9,73,100,10.71,MV,2021-01-02 01:23:09,heavy intensity rain
348,Mantua,45.17,10.78,43.0,94,100,1.01,IT,2021-01-02 01:23:10,light rain
349,Ilulissat,69.22,-51.1,19.4,52,100,1.12,GL,2021-01-02 01:18:22,overcast clouds
350,Friedberg,48.36,10.98,33.01,98,100,2.24,DE,2021-01-02 01:23:11,overcast clouds
351,Broken Hill,-31.95,141.43,80.6,51,75,14.99,AU,2021-01-02 01:18:23,broken clouds
352,Tilichiki,60.47,166.1,-5.57,90,100,17.67,RU,2021-01-02 01:18:14,overcast clouds
353,Cidreira,-30.18,-50.21,69.8,63,0,12.84,BR,2021-01-02 01:15:32,clear sky
354,Viking,53.1,-111.77,23.0,85,99,9.17,CA,2021-01-02 01:23:12,overcast clouds
355,Waipawa,-41.41,175.52,72.0,73,94,18.34,NZ,2021-01-02 01:17:17,overcast clouds
356,Batemans Bay,-35.72,150.18,66.99,79,100,1.99,AU,2021-01-02 01:23:13,overcast clouds
357,Bambanglipuro,-7.95,110.28,78.98,77,96,5.44,ID,2021-01-02 01:23:13,overcast clouds
358,Vila,42.03,-8.16,30.99,95,62,1.99,PT,2021-01-02 01:23:14,light snow
359,San Luis,-33.3,-66.34,80.92,33,50,11.68,AR,2021-01-02 01:17:36,scattered clouds
360,Ormara,25.21,64.64,61.68,30,0,10.54,PK,2021-01-02 01:17:00,clear sky
361,Saint Anthony,45.02,-93.22,24.8,79,90,4.88,US,2021-01-02 01:16:26,overcast clouds
362,Predivinsk,57.07,93.44,-23.67,85,11,1.25,RU,2021-01-02 01:23:15,few clouds
363,Aleksandrov Gay,50.15,48.57,15.96,95,100,8.63,RU,2021-01-02 01:23:15,overcast clouds
364,Banda Aceh,5.56,95.32,78.57,81,46,11.34,ID,2021-01-02 01:19:02,scattered clouds
365,Ifakara,-8.13,36.68,71.71,93,100,0.29,TZ,2021-01-02 01:23:16,light rain
366,Apiai,-24.51,-48.84,61.66,100,88,3.24,BR,2021-01-02 01:23:16,overcast clouds
367,Beberibe,-4.18,-38.13,80.6,83,20,10.29,BR,2021-01-02 01:23:16,few clouds
368,Ginir,7.13,40.7,56.68,66,0,4.29,ET,2021-01-02 01:16:19,clear sky
369,Porto Novo,6.5,2.6,84.2,79,40,14.99,BJ,2021-01-02 01:15:48,scattered clouds
370,Puerto Concordia,2.62,-72.76,74.98,92,99,4.52,CO,2021-01-02 01:23:17,overcast clouds
371,Saint-Francois,46.42,3.91,30.2,86,90,4.7,FR,2021-01-02 01:15:34,overcast clouds
372,Rio Gallegos,-51.62,-69.22,69.8,49,20,3.36,AR,2021-01-02 01:22:43,few clouds
373,Tateyama,34.98,139.87,48.99,57,20,13.87,JP,2021-01-02 01:23:18,few clouds
374,Husavik,66.04,-17.34,28.4,79,40,3.36,IS,2021-01-02 01:15:20,scattered clouds
375,Catuday,16.29,119.81,76.84,74,3,9.51,PH,2021-01-02 01:23:18,clear sky
376,Lancut,50.07,22.23,37.99,85,0,3.36,PL,2021-01-02 01:23:19,clear sky
377,Izvoarele Sucevei,47.75,25.18,30.99,85,51,5.68,RO,2021-01-02 01:23:19,broken clouds
378,Teya,60.38,92.63,-20.52,84,85,1.63,RU,2021-01-02 01:16:14,overcast clouds
379,Roma,43.21,-75.46,28.99,86,90,12.75,US,2021-01-02 01:13:42,snow
380,Minna,9.61,6.56,75.85,26,37,4.63,NG,2021-01-02 01:23:20,scattered clouds
381,Nuuk,64.18,-51.72,24.8,73,100,4.7,GL,2021-01-02 01:21:29,overcast clouds
382,Samarai,-10.62,150.67,86.4,72,91,16.17,PG,2021-01-02 01:18:21,overcast clouds
383,Arlit,18.74,7.39,70.18,23,0,2.86,NE,2021-01-02 01:23:21,clear sky
384,Moree,-29.47,149.85,82.4,51,40,12.75,AU,2021-01-02 01:23:21,scattered clouds
385,Shenjiamen,29.96,122.3,41.9,61,0,12.17,CN,2021-01-02 01:17:50,clear sky
386,Karratha,-20.74,116.85,91.58,46,19,9.93,AU,2021-01-02 01:23:22,few clouds
387,Blatec,41.84,22.58,36.59,78,0,3.4,MK,2021-01-02 01:23:22,clear sky
388,Naze,28.37,129.48,60.8,77,40,9.17,JP,2021-01-02 01:17:38,scattered clouds
389,Sisimiut,66.94,-53.67,13.53,87,100,3.96,GL,2021-01-02 01:23:23,overcast clouds
390,La Colmena,-25.88,-56.82,71.37,50,0,3.89,PY,2021-01-02 01:23:23,clear sky
391,Honiara,-9.43,159.95,87.8,70,40,4.7,SB,2021-01-02 01:16:52,scattered clouds
392,Kutum,14.2,24.67,56.34,33,1,5.17,SD,2021-01-02 01:17:14,clear sky
393,Ambunti,-4.24,142.84,91.72,55,92,0.96,PG,2021-01-02 01:23:24,overcast clouds
394,Watsa,3.04,29.54,65.61,97,100,2.93,CD,2021-01-02 01:23:25,overcast clouds
395,Pringsewu,-5.36,104.97,78.69,82,66,1.81,ID,2021-01-02 01:23:25,broken clouds
396,Altamira,-3.2,-52.21,75.42,82,2,1.79,BR,2021-01-02 01:16:20,clear sky
397,Buala,-8.14,159.59,86.81,62,99,5.44,SB,2021-01-02 01:23:26,overcast clouds
398,Havre-Saint-Pierre,50.23,-63.6,14.0,72,90,13.87,CA,2021-01-02 01:17:01,overcast clouds
399,Hermagor,46.63,13.37,44.01,98,100,1.54,AT,2021-01-02 01:23:26,overcast clouds
400,Limenaria,40.63,24.58,48.99,75,0,4.72,GR,2021-01-02 01:23:27,clear sky
401,Aswan,24.09,32.91,57.31,38,0,8.79,EG,2021-01-02 01:23:27,clear sky
402,Dutse,11.76,9.34,67.98,25,0,6.4,NG,2021-01-02 01:23:27,clear sky
403,Oranjemund,-28.55,16.43,62.55,74,0,8.23,NA,2021-01-02 01:23:28,clear sky
404,North Bend,43.41,-124.22,50.0,93,90,8.05,US,2021-01-02 01:23:28,overcast clouds
405,Indianola,41.36,-93.56,21.99,82,99,9.73,US,2021-01-02 01:23:29,overcast clouds
406,Nicoya,10.15,-85.45,80.6,69,40,10.29,CR,2021-01-02 01:23:29,scattered clouds
407,Kapuskasing,49.42,-82.43,26.6,86,89,4.7,CA,2021-01-02 01:23:29,overcast clouds
408,Garissa,-0.45,39.64,76.48,79,17,8.16,KE,2021-01-02 01:23:30,few clouds
409,Gresham,45.5,-122.43,48.99,90,100,1.01,US,2021-01-02 01:23:30,moderate rain
410,Maniitsoq,65.42,-52.9,20.41,85,100,4.88,GL,2021-01-02 01:16:48,overcast clouds
411,Pine Bluff,34.23,-92.0,42.01,80,90,5.82,US,2021-01-02 01:20:28,overcast clouds
412,Moanda,-1.56,13.22,70.95,94,100,2.71,GA,2021-01-02 01:23:31,overcast clouds
413,Maceio,-9.67,-35.74,73.4,94,20,3.36,BR,2021-01-02 01:13:47,few clouds
414,Marzuq,14.4,46.47,58.24,57,98,2.01,YE,2021-01-02 01:17:46,overcast clouds
415,Neiafu,-18.65,-173.98,82.4,83,75,5.82,TO,2021-01-02 01:16:44,light rain
416,Okrika,4.74,7.08,78.93,85,100,4.61,NG,2021-01-02 01:23:32,overcast clouds
417,Armidale,-30.52,151.65,69.01,83,100,5.01,AU,2021-01-02 01:23:32,overcast clouds
418,Fairbanks,64.84,-147.72,3.0,69,40,3.8,US,2021-01-02 01:23:33,scattered clouds
419,Ostrovnoy,68.05,39.51,16.56,94,100,12.46,RU,2021-01-02 01:16:52,overcast clouds
420,Bandarbeyla,9.49,50.81,74.16,69,84,17.56,SO,2021-01-02 01:16:30,broken clouds
421,Otane,-39.88,176.63,80.4,37,12,4.21,NZ,2021-01-02 01:23:34,light rain
422,Antalaha,-14.9,50.28,74.57,89,100,6.71,MG,2021-01-02 01:23:34,light rain
423,San Vicente,-26.62,-54.13,68.85,63,0,4.14,AR,2021-01-02 01:23:34,light rain
424,Hoshcha,50.6,26.67,33.31,93,0,6.64,UA,2021-01-02 01:23:35,clear sky
425,San Patricio,28.02,-97.52,57.2,62,75,4.7,US,2021-01-02 01:15:12,broken clouds
426,Nanortalik,60.14,-45.24,30.27,95,100,18.07,GL,2021-01-02 01:16:31,snow
427,Yerbogachen,61.28,108.01,-30.78,81,17,3.76,RU,2021-01-02 01:23:36,few clouds
428,Tobermory,45.25,-81.67,33.8,80,100,17.22,CA,2021-01-02 01:23:36,snow
429,Tallahassee,30.44,-84.28,69.8,100,90,3.36,US,2021-01-02 01:23:23,light rain
430,Blagoyevo,63.37,47.92,13.23,95,100,8.97,RU,2021-01-02 01:23:37,overcast clouds
431,Camacha,33.08,-16.33,57.2,76,40,1.12,PT,2021-01-02 01:15:58,scattered clouds
432,Manuk Mangkaw,4.8,119.85,81.66,80,100,12.24,PH,2021-01-02 01:23:37,overcast clouds
433,Orlik,52.52,99.83,-16.46,81,97,1.95,RU,2021-01-02 01:23:38,overcast clouds
434,Xam Nua,20.42,104.04,44.06,77,1,1.83,LA,2021-01-02 01:23:38,clear sky
435,Myronivka,49.66,30.98,36.48,90,0,8.46,UA,2021-01-02 01:23:38,clear sky
436,Berlin,52.52,13.41,37.0,86,90,6.93,DE,2021-01-02 01:22:05,overcast clouds
437,Jaciara,-15.97,-54.97,76.66,65,0,0.83,BR,2021-01-02 01:23:39,clear sky
438,Gambela,8.25,34.58,78.13,54,100,1.3,ET,2021-01-02 01:23:39,overcast clouds
439,Winnemucca,40.97,-117.74,37.4,59,40,3.36,US,2021-01-02 01:23:39,scattered clouds
440,Lukovetskiy,64.3,41.92,17.6,85,90,8.95,RU,2021-01-02 01:23:39,light snow
441,Eyl,7.98,49.82,71.69,76,89,15.19,SO,2021-01-02 01:23:40,overcast clouds
442,Jizan,17.33,42.67,75.2,78,91,5.82,SA,2021-01-02 01:23:40,overcast clouds
443,Acapulco,16.86,-99.89,80.6,61,5,5.82,MX,2021-01-02 01:15:37,clear sky
444,Jilin,43.0,126.0,-1.28,77,52,2.91,CN,2021-01-02 01:23:41,broken clouds
445,Taguatinga,-12.39,-46.57,79.11,58,28,2.89,BR,2021-01-02 01:23:41,scattered clouds
446,Alexander City,32.94,-85.95,62.6,100,1,5.79,US,2021-01-02 01:23:42,clear sky
447,Nome,64.5,-165.41,24.8,68,40,18.34,US,2021-01-02 01:23:42,scattered clouds
448,Innisfail,-17.53,146.03,82.08,74,100,4.79,AU,2021-01-02 01:23:42,overcast clouds
449,La Orilla,17.98,-102.23,71.22,63,0,7.31,MX,2021-01-02 01:23:42,clear sky
450,Labuan,5.28,115.24,78.8,94,20,2.46,MY,2021-01-02 01:17:49,few clouds
451,Bubaque,11.28,-15.83,80.08,68,0,13.13,GW,2021-01-02 01:16:15,clear sky
452,Cherskiy,68.75,161.3,-38.13,82,88,1.32,RU,2021-01-02 01:16:22,overcast clouds
453,Uvat,59.14,68.9,-27.83,85,26,1.48,RU,2021-01-02 01:23:44,scattered clouds
454,Kruisfontein,-34.0,24.73,62.01,75,0,1.99,ZA,2021-01-02 01:17:17,clear sky
455,Marsa Matruh,31.35,27.25,51.8,81,0,5.91,EG,2021-01-02 01:23:44,clear sky
456,Eureka,40.8,-124.16,52.0,92,100,1.01,US,2021-01-02 01:18:46,overcast clouds
457,Wiarton,44.74,-81.13,32.0,92,90,5.82,CA,2021-01-02 01:23:45,snow
458,Along,28.17,94.77,46.24,55,99,1.88,IN,2021-01-02 01:17:14,overcast clouds
459,Fallon,39.47,-118.78,42.8,52,20,8.05,US,2021-01-02 01:14:02,few clouds
460,Sinjar,36.32,41.88,46.29,56,17,2.17,IQ,2021-01-02 01:23:46,few clouds
461,Podgornoye,51.73,39.15,32.0,98,90,11.18,RU,2021-01-02 01:23:46,shower drizzle
462,Hammerfest,70.66,23.68,28.4,86,75,12.75,NO,2021-01-02 01:23:46,broken clouds
463,Basoko,1.24,23.62,71.91,88,94,4.9,CD,2021-01-02 01:23:47,overcast clouds
464,Japura,-0.32,102.35,73.29,97,100,1.92,ID,2021-01-02 01:16:49,light rain
465,Morant Bay,17.88,-76.41,80.6,61,20,23.04,JM,2021-01-02 01:23:47,few clouds
466,Bodden Town,19.28,-81.25,79.0,83,0,8.05,KY,2021-01-02 01:23:47,clear sky
467,Prince Rupert,54.32,-130.32,44.6,75,90,8.05,CA,2021-01-02 01:14:52,light rain
468,Kaoma,-14.78,24.8,66.16,94,100,5.08,ZM,2021-01-02 01:23:48,moderate rain
469,Popondetta,-8.75,148.25,88.65,57,100,4.43,PG,2021-01-02 01:23:48,moderate rain
470,George,-33.96,22.46,55.4,82,0,8.05,ZA,2021-01-02 01:23:48,clear sky
471,Baghdad,33.34,44.4,46.4,75,0,4.7,IQ,2021-01-02 01:20:39,mist
472,Mareeba,-17.0,145.43,90.0,74,40,4.7,AU,2021-01-02 01:23:49,moderate rain
473,Camacari,-12.7,-38.32,82.4,69,20,13.87,BR,2021-01-02 01:23:05,few clouds
474,Muchkapskiy,51.85,42.47,29.32,98,100,11.72,RU,2021-01-02 01:23:50,overcast clouds
475,Kaeo,-35.1,173.78,68.88,85,97,7.2,NZ,2021-01-02 01:23:50,overcast clouds
476,Bikin,46.82,134.26,-13.72,83,39,5.08,RU,2021-01-02 01:23:50,scattered clouds
477,Kano,12.0,8.52,59.0,51,0,2.24,NG,2021-01-02 01:23:51,clear sky
478,Camopi,3.17,-52.32,74.1,97,100,2.51,GF,2021-01-02 01:23:51,overcast clouds
479,Mandiana,10.63,-8.68,72.52,22,0,1.72,GN,2021-01-02 01:23:52,clear sky
480,Arivonimamo,-19.02,47.18,64.4,88,75,5.82,MG,2021-01-02 01:23:52,broken clouds
481,Berbera,10.44,45.01,73.67,78,100,4.14,SO,2021-01-02 01:23:53,overcast clouds
482,Hatfield,51.76,-0.22,39.0,93,90,10.29,GB,2021-01-02 01:23:53,overcast clouds
483,Nyurba,63.28,118.33,-19.61,87,97,5.3,RU,2021-01-02 01:18:11,overcast clouds
484,Neuquen,-38.95,-68.06,87.8,45,20,2.24,AR,2021-01-02 01:19:15,few clouds
485,Port-Cartier,50.03,-66.87,14.0,66,86,5.82,CA,2021-01-02 01:23:54,overcast clouds
486,Salihorsk,52.79,27.54,31.14,96,10,9.64,BY,2021-01-02 01:23:54,clear sky
487,Tarakan,3.3,117.63,78.8,94,40,7.02,ID,2021-01-02 01:18:15,scattered clouds
488,Tamiahua,21.27,-97.45,67.35,86,100,6.49,MX,2021-01-02 01:23:55,light rain
489,Isla Mujeres,21.23,-86.73,80.01,83,40,11.41,MX,2021-01-02 01:23:55,light rain
490,Bardiyah,31.76,25.09,58.66,51,0,8.14,LY,2021-01-02 01:23:55,clear sky
491,Weirton,40.42,-80.59,41.0,86,75,9.17,US,2021-01-02 01:20:14,broken clouds
492,Benjamin Constant,-4.38,-70.03,80.6,83,75,4.7,BR,2021-01-02 01:19:38,moderate rain
493,Pacific Grove,36.62,-121.92,55.99,76,1,5.82,US,2021-01-02 01:15:06,clear sky
494,Dokka,60.84,10.06,23.5,94,98,2.8,NO,2021-01-02 01:23:57,light snow
495,Manyana,-23.4,21.72,70.14,79,43,8.41,BW,2021-01-02 01:23:57,light rain
496,Choix,26.71,-108.32,55.9,64,16,0.56,MX,2021-01-02 01:23:57,light rain
497,Sinnamary,5.38,-52.95,78.44,86,100,6.24,GF,2021-01-02 01:16:23,overcast clouds
498,Sidi Ali,36.1,0.42,45.27,66,31,3.96,DZ,2021-01-02 01:23:58,scattered clouds
499,Xique-Xique,-10.82,-42.73,79.97,56,2,5.41,BR,2021-01-02 01:23:58,clear sky
500,Rio Grande,-32.03,-52.1,73.0,67,6,4.0,BR,2021-01-02 01:23:58,clear sky
501,Yayva,59.33,57.26,-2.0,80,100,5.01,RU,2021-01-02 01:23:59,overcast clouds
502,Yalvac,38.3,31.18,37.96,85,0,2.04,TR,2021-01-02 01:24:00,clear sky
503,Pemangkat,1.17,108.97,78.67,85,100,6.29,ID,2021-01-02 01:24:00,overcast clouds
504,Lasa,46.62,10.7,30.99,92,90,2.24,IT,2021-01-02 01:17:21,light snow
505,Shatrovo,56.52,64.63,-19.34,87,73,5.59,RU,2021-01-02 01:24:02,broken clouds
506,Saint-Joseph,-21.37,55.62,77.0,65,0,12.75,RE,2021-01-02 01:16:53,clear sky
507,Menongue,-14.66,17.69,62.02,93,100,5.37,AO,2021-01-02 01:24:03,overcast clouds
508,Yulara,-25.24,130.99,93.2,13,0,14.99,AU,2021-01-02 01:15:15,clear sky
509,Tanabi,-20.63,-49.65,77.0,65,40,4.7,BR,2021-01-02 01:24:04,thunderstorm
510,Lerwick,60.15,-1.15,35.6,93,93,9.17,GB,2021-01-02 01:24:05,overcast clouds
511,Grindavik,63.84,-22.43,35.6,100,75,16.11,IS,2021-01-02 01:24:05,light intensity drizzle
512,Dudinka,69.41,86.18,-20.2,75,20,15.66,RU,2021-01-02 01:24:05,haze
513,Monrovia,6.3,-10.8,77.0,100,20,8.55,LR,2021-01-02 01:24:06,few clouds
514,Dicabisagan,17.08,122.42,74.3,83,100,11.27,PH,2021-01-02 01:24:06,overcast clouds
515,Skjervoy,70.03,20.97,30.76,90,9,11.25,NO,2021-01-02 01:24:06,clear sky
516,Gizo,-8.1,156.84,85.46,66,89,4.61,SB,2021-01-02 01:15:00,overcast clouds
517,Cayenne,4.93,-52.33,75.2,100,20,2.24,GF,2021-01-02 01:16:56,few clouds
518,Gushikawa,26.35,127.87,62.6,67,90,8.05,JP,2021-01-02 01:24:07,overcast clouds
519,Alice Springs,-23.7,133.88,96.01,28,0,12.75,AU,2021-01-02 01:13:44,clear sky
520,Apatity,67.56,33.4,24.01,91,77,10.87,RU,2021-01-02 01:24:07,broken clouds
521,Kieta,-6.22,155.63,85.82,60,43,2.91,PG,2021-01-02 01:16:45,scattered clouds
522,Belmonte,-15.86,-38.88,77.0,78,40,5.82,BR,2021-01-02 01:16:21,scattered clouds
523,Bowen,-20.02,148.23,82.4,74,90,12.75,AU,2021-01-02 01:24:08,overcast clouds
524,Ede,52.03,5.66,39.2,100,90,6.93,NL,2021-01-02 01:24:08,mist
525,Puerto Del Rosario,28.5,-13.86,60.8,63,75,11.41,ES,2021-01-02 01:24:09,broken clouds
526,Katsuura,35.13,140.3,48.99,50,6,11.01,JP,2021-01-02 01:14:55,clear sky
527,Santa Cruz,-17.8,-63.17,77.0,83,63,3.36,BO,2021-01-02 01:24:09,broken clouds
528,Darhan,49.49,105.92,-11.29,87,71,2.84,MN,2021-01-02 01:24:09,snow
529,Okhotsk,59.38,143.3,-13.07,77,40,16.28,RU,2021-01-02 01:24:10,scattered clouds
530,Abu Dhabi,24.47,54.37,66.2,77,0,2.24,AE,2021-01-02 01:15:23,clear sky
531,Dzhida,50.68,106.18,-13.86,80,46,3.44,RU,2021-01-02 01:24:10,scattered clouds
532,Jumla,29.27,82.18,36.05,44,95,4.7,NP,2021-01-02 01:17:07,overcast clouds
533,Suntar,62.14,117.63,-18.53,86,100,7.16,RU,2021-01-02 01:24:11,overcast clouds
534,Arawa,-6.21,155.54,87.89,56,36,4.12,PG,2021-01-02 01:24:11,scattered clouds
535,Nishihara,26.18,127.76,62.6,72,75,18.34,JP,2021-01-02 01:24:11,broken clouds
536,Wajima,37.4,136.9,32.0,90,75,2.24,JP,2021-01-02 01:24:12,light shower snow
537,Adrar,20.5,-10.07,56.62,42,0,7.29,MR,2021-01-02 01:16:21,clear sky
538,Poum,-20.23,164.02,81.27,81,100,13.8,NC,2021-01-02 01:15:46,overcast clouds
539,Paramonga,-10.67,-77.83,68.97,87,100,7.07,PE,2021-01-02 01:24:12,overcast clouds
540,Elat,29.56,34.95,57.2,67,0,5.82,IL,2021-01-02 01:24:13,clear sky
541,Novo Aripuana,-5.12,-60.38,77.04,83,0,1.3,BR,2021-01-02 01:24:13,clear sky
542,Chabahar,25.29,60.64,61.9,31,46,8.19,IR,2021-01-02 01:24:13,scattered clouds
543,Kihei,20.79,-156.47,82.4,51,20,17.22,US,2021-01-02 01:24:13,few clouds
544,Jacareacanga,-6.22,-57.75,75.87,86,100,1.59,BR,2021-01-02 01:24:14,overcast clouds
