Weather_Database,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
61,Matamoros,25.53,-103.25,55.4,37,5,5.82,MX,2021-01-02 01:21:39,clear sky
62,Ballyhaunis,53.77,-8.77,32.0,77,65,5.99,IE,2021-01-02 01:21:39,broken clouds
63,Bengkulu,-3.8,102.27,79.72,74,100,5.01,ID,2021-01-02 01:12:30,overcast clouds
64,Dikson,73.51,80.55,9.43,96,100,18.54,RU,2021-01-02 01:15:25,light snow
65,Borba,-4.39,-59.59,76.33,85,0,2.68,BR,2021-01-02 01:21:40,clear sky
66,Mount Gambier,-37.83,140.77,77.0,57,3,6.93,AU,2021-01-02 01:15:44,clear sky
67,Saint-Philippe,-21.36,55.77,77.0,65,0,12.75,RE,2021-01-02 01:14:51,clear sky
68,Sur,22.57,59.53,67.71,46,0,10.16,OM,2021-01-02 01:15:19,clear sky
69,Maloy,61.94,5.11,34.0,95,100,12.75,NO,2021-01-02 01:21:41,light snow
70,Upernavik,72.79,-56.15,19.06,87,100,4.94,GL,2021-01-02 01:11:48,overcast clouds
71,Hamilton,39.18,-84.53,51.01,87,90,20.8,US,2021-01-02 01:11:17,overcast clouds
72,Manicore,-5.81,-61.3,76.37,91,28,2.1,BR,2021-01-02 01:21:42,scattered clouds
73,Healdsburg,38.61,-122.87,54.0,81,75,4.7,US,2021-01-02 01:21:42,broken clouds
74,Bambous Virieux,-20.34,57.76,77.0,73,40,11.41,MU,2021-01-02 01:15:20,scattered clouds
75,Erenhot,43.65,111.98,-10.61,84,0,7.76,CN,2021-01-02 01:21:43,clear sky
76,Cape Town,-33.93,18.42,64.99,62,0,4.7,ZA,2021-01-02 01:10:30,clear sky
77,Ossora,59.24,163.07,-0.47,89,100,19.39,RU,2021-01-02 01:21:43,overcast clouds
78,Superior,46.72,-92.1,21.2,85,90,4.7,US,2021-01-02 01:21:44,overcast clouds
79,Porto Walter,-8.27,-72.74,71.44,98,99,1.72,BR,2021-01-02 01:21:21,overcast clouds
80,Bilibino,68.05,166.44,-27.92,83,98,2.51,RU,2021-01-02 01:16:31,overcast clouds
81,Cody,44.53,-109.06,32.0,54,1,13.87,US,2021-01-02 01:21:45,clear sky
82,Ushuaia,-54.8,-68.3,64.4,42,40,12.75,AR,2021-01-02 01:14:51,scattered clouds
83,San Lorenzo De El Escorial,40.59,-4.15,37.0,72,36,10.0,ES,2021-01-02 01:21:45,light snow
84,Peterlee,54.76,-1.34,34.0,89,2,1.99,GB,2021-01-02 01:21:46,clear sky
85,Sistranda,63.73,8.83,35.6,74,0,96.64,NO,2021-01-02 01:21:46,clear sky
86,San Juan,-31.54,-68.54,87.53,26,0,3.78,AR,2021-01-02 01:18:21,clear sky
87,Kaitangata,-46.28,169.85,57.99,85,100,21.0,NZ,2021-01-02 01:16:00,overcast clouds
88,Boa Vista,2.82,-60.67,82.4,69,0,4.7,BR,2021-01-02 01:17:56,clear sky
89,Bredasdorp,-34.53,20.04,53.6,81,58,5.82,ZA,2021-01-02 01:14:59,broken clouds
90,Tiksi,71.69,128.87,-17.45,88,100,4.56,RU,2021-01-02 01:14:55,overcast clouds
91,Raudeberg,61.99,5.14,34.0,94,100,12.62,NO,2021-01-02 01:17:04,snow
92,Tulun,54.56,100.58,-20.09,86,28,1.99,RU,2021-01-02 01:21:48,scattered clouds
93,Berlevag,70.86,29.09,27.28,94,59,11.07,NO,2021-01-02 01:21:48,broken clouds
94,Mezen,65.85,44.24,11.44,95,100,9.62,RU,2021-01-02 01:21:48,light snow
95,Roald,62.58,6.13,32.0,96,90,11.41,NO,2021-01-02 01:21:48,snow
96,Fayetteville,35.05,-78.88,48.2,100,90,10.38,US,2021-01-02 01:20:21,light rain
97,Griffith,41.53,-87.42,33.8,100,90,9.69,US,2021-01-02 01:21:49,moderate rain
98,Huercal-Overa,37.39,-1.95,43.0,60,0,8.99,ES,2021-01-02 01:21:49,clear sky
99,Pucallpa,-8.38,-74.55,75.2,94,75,3.36,PE,2021-01-02 01:21:50,broken clouds
100,Beringovskiy,63.05,179.32,28.45,98,100,35.34,RU,2021-01-02 01:21:50,snow
101,Castro,-24.79,-50.01,62.35,97,61,8.16,BR,2021-01-02 01:15:12,broken clouds
102,Paita,-5.09,-81.11,68.86,81,100,8.99,PE,2021-01-02 01:21:50,overcast clouds
103,Chokurdakh,70.63,147.92,-32.58,85,0,2.46,RU,2021-01-02 01:15:41,clear sky
104,Surt,31.21,16.59,61.29,69,100,19.55,LY,2021-01-02 01:21:51,overcast clouds
105,Leningradskiy,69.38,178.42,-5.01,90,100,4.59,RU,2021-01-02 01:21:51,overcast clouds
106,Avarua,-21.21,-159.78,82.4,78,91,20.8,CK,2021-01-02 01:15:07,overcast clouds
107,Kavaratti,10.57,72.64,82.36,70,89,10.54,IN,2021-01-02 01:15:28,overcast clouds
108,Suifenhe,44.4,131.17,-10.79,82,0,5.12,CN,2021-01-02 01:21:52,clear sky
109,Arman,59.7,150.17,-9.08,79,0,12.35,RU,2021-01-02 01:17:11,clear sky
110,Escalerillas,22.13,-101.07,66.2,8,40,14.99,MX,2021-01-02 01:21:52,scattered clouds
111,Westport,41.14,-73.36,37.4,74,90,12.75,US,2021-01-02 01:17:27,moderate rain
112,Koslan,63.46,48.9,10.42,95,100,9.78,RU,2021-01-02 01:21:53,light snow
113,Port Lincoln,-34.73,135.87,66.92,64,24,16.22,AU,2021-01-02 01:15:21,few clouds
114,Klaksvik,62.23,-6.59,32.0,85,99,8.05,FO,2021-01-02 01:15:47,overcast clouds
115,Sao Jose Da Coroa Grande,-8.9,-35.15,78.8,78,74,9.35,BR,2021-01-02 01:16:48,broken clouds
116,Port Hardy,50.7,-127.42,46.4,100,75,4.7,CA,2021-01-02 01:16:45,light intensity shower rain
117,Luanda,-8.84,13.23,77.61,85,100,6.78,AO,2021-01-02 01:16:39,overcast clouds
118,Conceicao Do Araguaia,-8.26,-49.26,79.2,74,0,4.85,BR,2021-01-02 01:21:54,clear sky
119,Gouyave,12.16,-61.73,78.8,78,20,13.87,GD,2021-01-02 01:21:54,few clouds
120,Nikki,9.94,3.21,73.17,22,3,2.71,BJ,2021-01-02 01:21:55,clear sky
121,Sola,-13.88,167.55,87.8,79,40,5.82,VU,2021-01-02 01:15:58,scattered clouds
122,Victoria,22.29,114.16,55.99,39,0,1.01,HK,2021-01-02 01:12:03,clear sky
123,Isangel,-19.55,169.27,77.0,100,90,1.12,VU,2021-01-02 01:15:22,light intensity shower rain
124,Sao Filipe,14.9,-24.5,75.51,73,0,6.73,CV,2021-01-02 01:16:38,clear sky
125,Tasiilaq,65.61,-37.64,32.0,95,100,20.8,GL,2021-01-02 01:15:06,overcast clouds
126,Lavrentiya,65.58,-171.0,15.53,94,100,14.61,RU,2021-01-02 01:15:05,overcast clouds
127,Saskylakh,71.92,114.08,-9.42,89,100,17.11,RU,2021-01-02 01:21:56,light snow
128,Abu Samrah,35.3,37.18,54.19,60,95,3.89,SY,2021-01-02 01:21:57,overcast clouds
129,Keti Bandar,24.14,67.45,58.03,32,0,10.22,PK,2021-01-02 01:21:57,clear sky
130,Zyryanka,65.75,150.85,-27.72,85,100,8.57,RU,2021-01-02 01:18:09,overcast clouds
131,Lorengau,-2.02,147.27,85.86,71,100,9.64,PG,2021-01-02 01:16:34,overcast clouds
132,Nizhniy Tsasuchey,50.52,115.13,-9.87,85,10,8.46,RU,2021-01-02 01:21:58,clear sky
133,Sao Gabriel Da Cachoeira,-0.13,-67.09,74.77,94,84,1.63,BR,2021-01-02 01:21:58,broken clouds
134,Sovetskiy,61.36,63.58,-27.45,85,0,3.11,RU,2021-01-02 01:16:51,clear sky
135,Pevek,69.7,170.31,-18.67,89,100,5.5,RU,2021-01-02 01:15:15,overcast clouds
136,Tuktoyaktuk,69.45,-133.04,-23.8,74,20,10.29,CA,2021-01-02 01:15:23,few clouds
137,Mahebourg,-20.41,57.7,77.0,73,40,11.41,MU,2021-01-02 01:16:32,scattered clouds
138,Margate,51.38,1.39,39.99,90,96,1.99,GB,2021-01-02 01:17:29,overcast clouds
139,Quepos,9.42,-84.17,73.4,73,20,11.41,CR,2021-01-02 01:22:00,few clouds
140,Flinders,-34.58,150.86,69.01,87,99,4.0,AU,2021-01-02 01:22:00,overcast clouds
141,Codrington,-38.27,141.97,70.95,80,100,6.51,AU,2021-01-02 01:16:14,overcast clouds
142,New Norfolk,-42.78,147.06,78.01,43,53,1.01,AU,2021-01-02 01:15:18,broken clouds
